,0
Wind_speed,-0.4204106810540444
Wind_over_Q0.6,-0.41232240621104443
Wind_speed_lag1,-0.3343807486724619
Wind_over_Q0.8,-0.25916598035758287
Wind_over_Q0.6_lag1,-0.23476251752642519
Wind_over_Q0.8_lag1,-0.22765866318901787
Temp_lag1,-0.19040381494132802
Pptn_intense,-0.11929728516940907
TP_catch,-0.10335086865508339
Temp,-0.09159103626457153
Pptn,-0.07069294668647415
PET_lag1,-0.04911125639177062
Rain_day_lag1,-0.020853289503665585
Rain_day,-0.01651423185873275
Q_lag1,-0.014968019829519593
Temp_prevSummer,0.021390758048955537
PET,0.04934663159561749
Q,0.10652988105490518
Pptn_lag1,0.11156049657855367
Pptn_intense_lag1,0.16345538807559964
Wind_under_Q0.2_lag1,0.22564982943185175
Wind_under_Q0.4_lag1,0.23087109243300905
Wind_under_Q0.4,0.38193552416453547
Wind_under_Q0.2,0.43004621558794687
TP_lake_prevSummer,0.641919307765229
